source_record_id,candidate_id,publication_role,release_date,release_year,title,model_name,doi,arxiv_id,url,multiple_observation_pathways,date_basis
GZ8MRK8U,C0426,Model release/description,2024-03-22,2024,Neural Plasticity-Inspired Multimodal Foundation Model for Earth Observation,DOFA,10.48550/arXiv.2403.15356,2403.15356,http://arxiv.org/abs/2403.15356,True,Earliest indexed candidate record
V3BUUSLT,C0101,Model release/description,2024-04-01,2024,Bridging Remote Sensors with Multisensor Geospatial Foundation Models,msGFM,10.1109/CVPR52733.2024.02631,,https://ieeexplore.ieee.org/document/10658014,True,Earliest indexed candidate record
FT5MHQCH,manual,Model release/description,2024-04-12,2024,OmniSat: Self-supervised Modality Fusion for Earth Observation,OmniSat,10.1007/978-3-031-73390-1_24,2404.08351,,True,arXiv v1 (2404.08351); corrected unrelated ID
ZVTA57NH,C0553,Model release/description,2024-05-03,2024,SatSwinMAE: Efficient Autoencoding for Multiscale Time-series Satellite Imagery,SatSwinMAE,10.48550/arXiv.2405.02512,2405.02512,http://arxiv.org/abs/2405.02512,False,Earliest indexed candidate record
Q6URUXQY,manual,Model release/description,2024-05-04,2024,MMEarth: Exploring Multi-modal Pretext Tasks for Geospatial Representation Learning,MMEarth,10.1007/978-3-031-73039-9_10,2405.02771,,True,arXiv v1 (2405.02771)
PT9CCF9F,manual-earth-foundations-perspective,Review/perspective,2024-05-07,2024,On the foundations of Earth foundation models,,10.1038/s43247-025-03127-x,2405.04285,https://www.nature.com/articles/s43247-025-03127-x,,arXiv v1; later Nature perspective
ID3YTYTZ,C0673,Review/perspective,2024-06-13,2024,Towards Vision-Language Geo-Foundation Model: A Survey,,10.48550/arXiv.2406.09385,2406.09385,http://arxiv.org/abs/2406.09385,,Earliest indexed candidate record
ZK8S3IL2,C0218,Benchmark/evaluation,2024-06-26,2024,Evaluating and Benchmarking Foundation Models for Earth Observation and Geospatial AI,,10.48550/arXiv.2406.18295,2406.18295,http://arxiv.org/abs/2406.18295,,Earliest indexed candidate record
WVMRF7VM,C0702,Review/perspective,2024-08-06,2024,Vision Foundation Models in Remote Sensing: A survey,,10.1109/MGRS.2025.3541952,2408.03464,https://ieeexplore.ieee.org/abstract/document/10916803,,Earliest indexed candidate record
T53I8Y2Z,C0605,Model release/description,2024-08-15,2024,SpectralEarth: Training Hyperspectral Foundation Models at Scale,SpectralEarth,10.1109/JSTARS.2025.3581451,2408.08447,https://ieeexplore.ieee.org/document/11045062,False,Earliest indexed candidate record
ST38UU9X,C0684,Review/perspective,2024-09-13,2024,Uncertainty and Generalizability in Foundation Models for Earth Observation,,10.48550/arXiv.2409.08744,2409.08744,http://arxiv.org/abs/2409.08744,,Earliest indexed candidate record
FZM7VGPH,C0261,Review/perspective,2024-10-22,2024,Foundation Models for Remote Sensing and Earth Observation: A survey,,10.1109/MGRS.2025.3576766,2410.16602,https://ieeexplore.ieee.org/document/11097335,,Earliest indexed candidate record
6BQGYFBJ,C0137,Model release/description,2024-10-30,2024,CrossEarth: Geospatial Vision Foundation Model for Domain Generalizable Remote Sensing Semantic Segmentation,CrossEarth,10.1109/TPAMI.2025.3649001,2410.22629,https://ieeexplore.ieee.org/document/11316817,False,Earliest indexed candidate record
CCJEEPDD,manual,Model release/description,2024-11-19,2024,Clay Foundation Model v1.5,Clay v1.5,,,https://clay-foundation.github.io/model/,True,Clay v1.5 release documentation
HNU8RLY2,C0473,Model release/description,2024-12-03,2024,Prithvi-EO-2.0: A Versatile Multitemporal Foundation Model for Earth Observation Applications,Prithvi-EO-2.0,10.1109/TGRS.2025.3642610,2412.02732,https://ieeexplore.ieee.org/abstract/document/11296896,True,Earliest indexed candidate record
RUUY2T8I,C0450,Benchmark/evaluation,2024-12-05,2024,PANGAEA: A Global and Inclusive Benchmark for Geospatial Foundation Models,,10.48550/arXiv.2412.04204,2412.04204,http://arxiv.org/abs/2412.04204,,Earliest indexed candidate record
IKBD6AJP,manual,Model release/description,2024-12-18,2024,"AnySat: One Earth Observation Model for Many Resolutions, Scales, and Modalities",AnySat,,2412.14123,https://openaccess.thecvf.com/content/CVPR2025/html/Astruc_AnySat_One_Earth_Observation_Model_for_Many_Resolutions_Scales_and_CVPR_2025_paper.html,True,arXiv v1 (2412.14123)
ANWTYPZG,C0562,Model release/description,2024-12-26,2024,SeaMo: A season-aware multimodal foundation model for remote sensing,SeaMo,10.1016/j.inffus.2025.103334,2412.19237,https://www.sciencedirect.com/science/article/pii/S1566253525004075,True,Earliest indexed candidate record
PUALSCPJ,C0223,Benchmark/evaluation,2025-01-01,2025,Evaluating the Robustness of Foundation Models for Satellite Imagery,,10.1109/ACCESS.2025.3581067,,https://ieeexplore.ieee.org/document/11039825,,Earliest indexed candidate record
V9CAI7D7,C0714,Review/perspective,2025-01-07,2025,When Remote Sensing Meets Foundation Model: A Survey and Beyond,,10.3390/rs17020179,,https://www.mdpi.com/2072-4292/17/2/179,,Earliest indexed candidate record
QUZXJLFK,manual,Model release/description,2025-02-13,2025,Galileo: Learning Global & Local Features of Many Remote Sensing Modalities,Galileo,,2502.09356,https://proceedings.mlr.press/v267/tseng25a.html,True,arXiv v1 (2502.09356)
5V8XWK8M,C0452,Model release/description,2025-03-13,2025,Panopticon: Advancing Any-Sensor Foundation Models for Earth Observation,Panopticon,10.1109/CVPRW67362.2025.00207,2503.10845,https://ieeexplore.ieee.org/document/11147876,True,Earliest indexed candidate record
R2HZGVVQ,C0518,Model release/description,2025-03-13,2025,RoMA: Scaling up Mamba-based Foundation Models for Remote Sensing,RoMA,10.48550/arXiv.2503.10392,2503.10392,http://arxiv.org/abs/2503.10392,False,Earliest indexed candidate record
8GHVT52A,C0659,Model release/description,2025-03-14,2025,Towards a Unified Copernicus Foundation Model for Earth Vision,Copernicus-FM,10.1109/iccv51701.2025.00922,2503.11849,https://openaccess.thecvf.com/content/ICCV2025/html/Wang_Towards_a_Unified_Copernicus_Foundation_Model_for_Earth_Vision_ICCV_2025_paper.html,True,Earliest indexed candidate record
BNVVWSXJ,C0037,Review/perspective,2025-03-28,2025,A Survey on Remote Sensing Foundation Models: From Vision to Multimodality,,10.48550/arXiv.2503.22081,2503.22081,http://arxiv.org/abs/2503.22081,,Earliest indexed candidate record
NBLMK9QF,C0242,Model release/description,2025-03-31,2025,FlexiMo: A Flexible Remote Sensing Foundation Model,FlexiMo,10.1109/TGRS.2026.3656362,2503.23844,https://ieeexplore.ieee.org/document/11359569,True,Earliest indexed candidate record
ZBAI3TXN,C0514,Model release/description,2025-04-04,2025,RingMoE: Mixture-of-Modality-Experts Multi-Modal Foundation Models for Universal Remote Sensing Image Interpretation,RingMoE,10.1109/TPAMI.2025.3643453,2504.03166,https://ieeexplore.ieee.org/document/11298536,True,Earliest indexed candidate record
7GGED3IW,C0627,Model release/description,2025-04-15,2025,TerraMind: Large-Scale Generative Multimodality for Earth Observation,TerraMind,10.1109/ICCV51701.2025.00693,2504.11171,https://openaccess.thecvf.com/content/ICCV2025/html/Jakubik_TerraMind_Large-Scale_Generative_Multimodality_for_Earth_Observation_ICCV_2025_paper.html,True,Earliest indexed candidate record
8SLCVKXA,C0004,Model release/description,2025-04-16,2025,A Complex-Valued SAR Foundation Model Based on Physically Inspired Representation Learning,ComplexSAR-FM,10.1109/TIP.2026.3652417,2504.11999,https://ieeexplore.ieee.org/document/11353389,False,Earliest indexed candidate record
YVG3FXFZ,C0013,Review/perspective,2025-04-24,2025,A Genealogy of Foundation Models in Remote Sensing,,10.1145/3789505,2504.17177,https://dl.acm.org/doi/10.1145/3789505,,Earliest indexed candidate record
A7ARF294,C0482,Model release/description,2025-04-26,2025,PyViT-FUSE: A Foundation Model for Multi-Sensor Earth Observation Data,PyViT-FUSE,10.48550/arXiv.2504.18770,2504.18770,http://arxiv.org/abs/2504.18770,True,Earliest indexed candidate record
SZKVKP8I,C0662,Benchmark/evaluation,2025-05-06,2025,Towards Efficient Benchmarking of Foundation Models in Remote Sensing: A Capabilities Encoding Approach,,10.1109/CVPRW67362.2025.00292,2505.03299,https://ieeexplore.ieee.org/document/11147645,,Earliest indexed candidate record
K2NVP8LF,C0500,Benchmark/evaluation,2025-05-22,2025,REOBench: Benchmarking Robustness of Earth Observation Foundation Models,,10.48550/arxiv.2505.16793,2505.16793,https://proceedings.neurips.cc/paper_files/paper/2025/hash/58af38e2fba04b5e00c3450018c56406-Abstract-Datasets_and_Benchmarks_Track.html,,Earliest indexed candidate record
H2AY2F4X,C0067,Model release/description,2025-05-27,2025,AgriFM: A multi-source temporal remote sensing foundation model for Agriculture mapping,AgriFM,10.1016/j.rse.2026.115234,2505.21357,https://www.sciencedirect.com/science/article/pii/S0034425726000040,False,Earliest indexed candidate record
3N3RCUCP,C0625,Model release/description,2025-06-06,2025,TerraFM: A Scalable Foundation Model for Unified Multisensor Earth Observation,TerraFM,10.48550/arXiv.2506.06281,2506.06281,http://arxiv.org/abs/2506.06281,True,Earliest indexed candidate record
FC8WMML6,C0368,Benchmark/evaluation,2025-06-10,2025,Landsat-Bench: Datasets and Benchmarks for Landsat Foundation Models,,10.48550/arXiv.2506.08780,2506.08780,http://arxiv.org/abs/2506.08780,,Earliest indexed candidate record
6A6MN744,C0630,Model release/description,2025-06-25,2025,TESSERA: Temporal Embeddings of Surface Spectra for Earth Representation and Analysis,TESSERA,10.48550/arXiv.2506.20380,2506.20380,http://arxiv.org/abs/2506.20380,False,Earliest indexed candidate record
YRKU8PLE,C0108,Model release/description,2025-06-30,2025,CGEarthEye:A High-Resolution Remote Sensing Vision Foundation Model Based on the Jilin-1 Satellite Constellation,CGEarthEye,10.48550/arXiv.2507.00356,2507.00356,http://arxiv.org/abs/2507.00356,False,Earliest indexed candidate record
UHZ6MHXC,C0646,Model release/description,2025-07-01,2025,TiMo: Spatiotemporal Foundation Model for Satellite Image Time Series,TiMo,10.48550/arXiv.2505.08723,2505.08723,http://arxiv.org/abs/2505.08723,False,Release year only; positioned at mid-year
Q5SZSZMH,C0266,Review/perspective,2025-07-11,2025,From Physics to Foundation Models: A Review of AI-Driven Quantitative Remote Sensing Inversion,,,2507.09081,https://arxiv.org/abs/2507.09081v1,,Earliest indexed candidate record
MFICPWPA,C0591,Model release/description,2025-07-18,2025,SkySense V2: A Unified Foundation Model for Multi-Modal Remote Sensing,SkySense V2,10.1109/ICCV51701.2025.00854,2507.13812,https://ieeexplore.ieee.org/document/11445811,True,Earliest indexed candidate record
SJHBL7JD,C0030,Model release/description,2025-08-01,2025,A semantic-enhanced multi-modal remote sensing foundation model for Earth observation,SkySense++,10.1038/s42256-025-01078-8,,https://www.nature.com/articles/s42256-025-01078-8,True,Earliest indexed candidate record
FFCTSX4E,C0074,Model release/description,2025-09-08,2025,AlphaEarth Foundations: An embedding field model for accurate and efficient global mapping from sparse label data,AlphaEarth Foundations,10.48550/arXiv.2507.22291,2507.22291,http://arxiv.org/abs/2507.22291,True,Earliest indexed candidate record
MHEWLR4P,C0616,Model release/description,2025-09-22,2025,StefaLand: An Efficient Geoscience Foundation Model That Improves Dynamic Land-Surface Predictions,StefaLand,10.48550/arXiv.2509.17942,2509.17942,http://arxiv.org/abs/2509.17942,True,Earliest indexed candidate record
I9Y6V42Q,C0273,Model release/description,2025-09-28,2025,FUSAR-KLIP: Towards Multimodal Foundation Models for Remote Sensing,FUSAR-KLIP,,2509.23927,https://arxiv.org/abs/2509.23927v4,True,Earliest indexed candidate record
6949I55K,C0053,Review/perspective,2025-10-24,2025,Advances on Multimodal Remote Sensing Foundation Models for Earth Observation Downstream Tasks: A Survey,,10.3390/rs17213532,,https://www.mdpi.com/2072-4292/17/21/3532,,Earliest indexed candidate record
EVE9MWKX,C0618,Review/perspective,2025-10-27,2025,"Survey of Multimodal Geospatial Foundation Models: Techniques, Applications, and Challenges",,10.48550/arXiv.2510.22964,2510.22964,http://arxiv.org/abs/2510.22964,,Earliest indexed candidate record
YBLY95MC,C0584,Benchmark/evaluation,2025-11-13,2025,SHRUG-FM: Reliability-Aware Foundation Models for Earth Observation,,10.48550/arXiv.2511.10370,2511.10370,http://arxiv.org/abs/2511.10370,,arXiv v1 submission history; reclassified after PDF audit
PGQLRLKZ,C0434,Model release/description,2025-11-17,2025,OlmoEarth: Stable Latent Image Modeling for Multimodal Earth Observation,OlmoEarth,10.48550/arxiv.2511.13655,2511.13655,https://openaccess.thecvf.com/content/CVPR2026/html/Herzog_OlmoEarth_Stable_Latent_Image_Modeling_for_Multimodal_Earth_Observation_CVPR_2026_paper.html,True,Earliest indexed candidate record
V4IXAACA,C0284,Benchmark/evaluation,2025-11-19,2025,"GEO-Bench-2: From Performance to Capability, Rethinking Evaluation in Geospatial AI",,10.48550/arXiv.2511.15658,2511.15658,http://arxiv.org/abs/2511.15658,,Earliest indexed candidate record
ZQXMJQIL,C0082,Model release/description,2025-12-19,2025,Any-Optical-Model: A Universal Foundation Model for Optical Remote Sensing,Any-Optical-Model,,2512.17224,https://arxiv.org/abs/2512.17224v1,False,Earliest indexed candidate record
FR9EACGC,C0443,Review/perspective,2026-01-16,2026,"Onboard Deployment of Remote Sensing Foundation Models: A Comprehensive Review of Architecture, Optimization, and Hardware",,10.3390/rs18020298,,https://www.mdpi.com/2072-4292/18/2/298,,Earliest indexed candidate record
LP7SRPQG,C0644,Model release/description,2026-01-22,2026,THOR: A Versatile Foundation Model for Earth Observation Climate and Society Applications,THOR,10.48550/arXiv.2601.16011,2601.16011,http://arxiv.org/abs/2601.16011,True,Earliest indexed candidate record
KG9XFAVU,C0262,Review/perspective,2026-03-01,2026,Foundation Models in Remote Sensing: Evolving from unimodality to multimodality,,10.1109/MGRS.2026.3669086,2603.00988,https://ieeexplore.ieee.org/document/11435138,,Earliest indexed candidate record
BEA365XE,C0139,Benchmark/evaluation,2026-03-02,2026,Cryo-Bench: Benchmarking Foundation Models for Cryosphere Applications,,10.48550/arXiv.2603.01576,2603.01576,http://arxiv.org/abs/2603.01576,,Earliest indexed candidate record
HNBMV2U2,C0585,Model release/description,2026-03-08,2026,SIGMAE: A Spectral-Index-Guided Foundation Model for Multispectral Remote Sensing,SIGMAE,10.48550/arXiv.2603.07463,2603.07463,http://arxiv.org/abs/2603.07463,False,Earliest indexed candidate record
NRNKZUJQ,C0138,Model release/description,2026-03-12,2026,CrossEarth-SAR: A SAR-Centric and Billion-Scale Geospatial Foundation Model for Domain Generalizable Semantic Segmentation,CrossEarth-SAR,10.48550/arXiv.2603.12008,2603.12008,http://arxiv.org/abs/2603.12008,False,Earliest indexed candidate record
E53MBXES,C0624,Model release/description,2026-03-13,2026,"TerraFlow: Multimodal, Multitemporal Representation Learning for Earth Observation",TerraFlow,10.48550/arXiv.2603.12762,2603.12762,http://arxiv.org/abs/2603.12762,True,Earliest indexed candidate record
3NZVHH7B,zotero:3NZVHH7B,Benchmark/evaluation,2026-03-27,2026,Harvesting AlphaEarth: Benchmarking the geospatial foundation model for agricultural downstream tasks,,10.1016/j.jag.2026.105258,,https://www.sciencedirect.com/science/article/pii/S1569843226001743,,Journal available-online date in the PDF
9M2UQMIE,C0329,Model release/description,2026-04-05,2026,HighFM: Towards a Foundation Model for Learning Representations from High-Frequency Earth Observation Data,HighFM,10.48550/arXiv.2604.04306,2604.04306,http://arxiv.org/abs/2604.04306,True,Earliest indexed candidate record
HSNQS4X8,manual,Model release/description,2026-05-11,2026,HySens: Sensor-Agnostic Foundation Models for Hyperspectral Data,HySens,10.1109/TGRS.2026.3691782,,https://ieeexplore.ieee.org/document/11514078,False,Crossref DOI creation date
BXN7MHRF,C0429,Benchmark/evaluation,2026-05-12,2026,No One Knows the State of the Art in Geospatial Foundation Models,,10.48550/arXiv.2605.12678,2605.12678,http://arxiv.org/abs/2605.12678,,Earliest indexed candidate record
9KJZCYXR,C0604,Model release/description,2026-05-20,2026,SpectralEarth-FM: Bringing Hyperspectral Imagery into Multimodal Earth Observation Pretraining,SpectralEarth-FM,10.48550/arXiv.2605.21075,2605.21075,http://arxiv.org/abs/2605.21075,True,Earliest indexed candidate record
UV4WGSMF,C0244,Model release/description,2026-05-27,2026,FLORO: A Multimodal Geospatial Foundation Model for Ecological Remote Sensing Across Sensors and Scales,FLORO,10.48550/arXiv.2605.28174,2605.28174,http://arxiv.org/abs/2605.28174,True,Earliest indexed candidate record
BBL5Z2IU,C0193,Benchmark/evaluation,2026-05-28,2026,EarthShift: a benchmark for measuring robustness to real-world distribution shifts in Earth observation,,10.48550/arXiv.2605.29330,2605.29330,http://arxiv.org/abs/2605.29330,,Earliest indexed candidate record
N6QIUJAF,C0091,Benchmark/evaluation,2026-06-29,2026,Benchmarking Geospatial Foundation Models for Agriculture Applications,,10.48550/arXiv.2606.29664,2606.29664,http://arxiv.org/abs/2606.29664,,Earliest indexed candidate record
HQXRBLTN,zotero:HQXRBLTN,Model release/description,2026-07-01,2026,Sensor-specialized JEPA foundation models complement planetary-scale embeddings for agentic hydrologic reasoning,Mini-JEPAs,10.1016/j.rsase.2026.102136,,https://www.sciencedirect.com/science/article/pii/S2352938526002697,True,Journal available-online date in the PDF; Zotero month metadata corrected
M3JGCHXC,zotero:M3JGCHXC,Model release/description,2026-07-04,2026,TESSERA v2: Scaling Pixel-wise Earth Foundation Models,TESSERA v2,10.48550/arXiv.2607.03949,2607.03949,http://arxiv.org/abs/2607.03949,True,arXiv v1 submission history
